evidence_id,evidence,article
Nuclear winter:46,"While it is believed that the modeled climate-cooling-effects from the mass of soot injected into the stratosphere by 100 firestorms one to five teragrams would have been detectable with technical instruments in WWII, five percent of that would not have been possible to observe at that time.",Nuclear winter
1257 Samalas eruption:144,The Little Ice Age was a period of several centuries during the last millennium during which global temperatures were depressed; the cooling was associated with volcanic eruptions.,1257 Samalas eruption
Natural disaster:18,The effects include the volcanic eruption itself that may cause harm following the explosion of the volcano or falling rocks.,Natural disaster
Nuclear winter:329,"Similar climatic effects to nuclear winter followed historical supervolcano eruptions, which plumed sulfate aerosols high into the stratosphere, with this being known as a volcanic winter.",Nuclear winter
Volcanism:16,The amount of gas and ash emitted by volcanic eruptions has a significant effect on the Earths climate.,Volcanism
Volcano:181,The 1815 eruption of Mount Tambora created global climate anomalies that became known as the Year Without a Summer because of the effect on North American and European weather.,Volcano
Global warming controversy:196,"A study released in 2009, combined historical weather station data with satellite measurements to deduce past temperatures over large regions of the continent, and these temperatures indicate an overall warming trend.",Global warming controversy
John Christy:17,"From the beginning of the satellite record in late 1978 into 1998 it showed a net global cooling trend, although ground measurements and instruments carried aloft by balloons showed warming in many areas.",John Christy
John Christy:18,Part of the cooling trend seen by the satellites can be attributed to several years of cooler than normal temperatures and cooling caused by the eruption of the Mount Pinatubo volcano.,John Christy
John Christy:20,"Since the data correction of August 1998 and the major La Niña Pacific Ocean warming event of the same year, data collected by satellite instruments has shown an average global warming trend in the atmosphere.",John Christy
John Christy:21,"From November 1978 through March 2011, Earths atmosphere has warmed at an average rate of about 0.14 C per decade, according to the UAHuntsville satellite record.",John Christy
1257 Samalas eruption:94,"The deposits showed that climate disturbances reported at that time were due to a volcanic event, the global spread indicating a tropical volcano as the cause.",1257 Samalas eruption
Climate change (general concept):101,"Small eruptions, with injections of less than 0.1 Mt of sulfur dioxide into the stratosphere, affect the atmosphere only subtly, as temperature changes are comparable with natural variability.",Climate change general concept
Global cooling:26,"Climatic oscillations at higher frequencies are not predicted the results indicate that the long-term trend over the next 20,000 years is towards extensive Northern Hemisphere glaciation and cooler climate.",Global cooling
Global warming hiatus:37,"They used computer simulations of future climate to show that it was possible, and indeed likely, to have a period as long as a decade or two of cooling or no warming superimposed on a longer-term warming trend.",Global warming hiatus
Phanerozoic:119,The Late Cretaceous featured a cooling trend that would continue into the Cenozoic Era.,Phanerozoic
Satellite temperature measurements:40,"The long term cooling in the lower stratosphere occurred in two downward steps in temperature both after the transient warming related to explosive volcanic eruptions of El Chichón and Mount Pinatubo, this behavior of the global stratospheric temperature has been attributed to global ozone concentration variation in the two years following volcanic eruptions.",Satellite temperature measurements
General circulation model:38,"These models are the basis for model predictions of future climate, such as are discussed by the IPCC.",General circulation model
General circulation model:5,"GCMs and global climate models are used for weather forecasting, understanding the climate, and forecasting climate change.",General circulation model
Global warming:143,The 2017 United States-published National Climate Assessment notes that climate models may still be underestimating or missing relevant feedback processes.,Global warming
Science:206,"For example, it is used in quantitative scientific modeling, which can generate new hypotheses and predictions to be tested.",Science
Sensitivity analysis:278,"Effective Groundwater Model Calibration, with Analysis of Data, Sensitivities, Predictions, and Uncertainty.",Sensitivity analysis
Paleocene–Eocene Thermal Maximum:618,Release of methane from a volcanic basin as a mechanism for initial Eocene global warming.,Paleocene-Eocene Thermal Maximum
Sea level rise:163,"For instance, a 2016 study led by Jim Hansen concluded that based on past climate change data, sea level rise could accelerate exponentially in the coming decades, with a doubling time of 10, 20 or 40 years, respectively, raising the ocean by several meters in 50, 100 or 200 years.",Sea level rise
Sea level rise:167,According to the Fourth 2017 National Climate Assessment NCA of the United States it is very likely sea level will rise between 30 and 130 cm 1.0-4.3 feet in 2100 compared to the year 2000.,Sea level rise
Antarctica:84,"If the sheet were to break down, ocean levels would rise by several metres in a relatively geologically short period of time, perhaps a matter of centuries.",Antarctica
Lake Tahoe:237,"Historically, the clarity of Lake Tahoe continued to decrease through 2010, when the average Secchi depth, 64.4 feet 19.6 m, was the second lowest ever recorded the lowest was 64.1 feet 19.5 m in 1997.",Lake Tahoe
Miami:56,"Beginning some 130,000 years ago, the Sangamonian Stage raised sea levels to approximately 25 feet 8 m above the current level.",Miami
Miami:61,"By 15,000 years ago, the sea level had dropped 300 to 350 feet 90 to 110 m below the current level.",Miami
River Thames:66,"Combined, this and other studies suggest that the Thames sea-level has risen more than 30 m during the Holocene at a rate of around 5-6 mm per year from 10,000 to 6,000 years ago.",River Thames
Science:197,"In addition to testing hypotheses, scientists may also generate a model, an attempt to describe or depict the phenomenon in terms of a logical, physical or mathematical representation and to generate new hypotheses that can be tested, based on observable phenomena.",Science
Scientific method:124,"Scientific models vary in the extent to which they have been experimentally tested and for how long, and in their acceptance in the scientific community.",Scientific method
Scientific method:279,"Crucially, experimental and theoretical results must be reproduced by others within the scientific community.",Scientific method
Scientific method:598,"One key point was that they realized that the quickest way to reach a result was not to continue a mathematical analysis, but to build a physical model.",Scientific method
Scientific method:623,"In essence it is a process of accelerated and rigorous trial and error building on previous knowledge to refine an existing hypothesis, or discarding it altogether to find a better model.",Scientific method
Climatology:22,"While scientists knew of past climate change such as the ice ages, the concept of climate as unchanging was useful in the development of a general theory of what determines climate.",Climatology
Greenland ice sheet:100,"They offered a conclusion that the coupling between surface melting and ice-sheet flow provides a mechanism for rapid, large-scale, dynamic responses of ice sheets to climate warming.",Greenland ice sheet
Greenland ice sheet:53,"An ice sheet response time of centuries seems probable, and we cannot rule out large changes on decadal time-scales once wide-scale surface melt is underway.",Greenland ice sheet
Scientific consensus on climate change:16,"Warming of the climate system is unequivocal, and since the 1950s, many of the observed changes are unprecedented over decades to millennia.",Scientific consensus on climate change
Scientific consensus on climate change:671,There is growing evidence that our climate is changing.,Scientific consensus on climate change
Sea level rise:108,"Secondly, melting of the ice shelves, the floating extensions of the ice sheet, leads to a process named the Marine Ice Cliff Instability.",Sea level rise
Sea level rise:545,Potential Antarctic Ice Sheet retreat driven by hydrofracturing and ice cliff failure.,Sea level rise
West Antarctic Ice Sheet:1,"The WAIS is classified as a marine-based ice sheet, meaning that its bed lies well below sea level and its edges flow into floating ice shelves.",West Antarctic Ice Sheet
West Antarctic Ice Sheet:36,"They proposed that changes in air circulation patterns have led to increased upwelling of warm, deep ocean water along the coast of Antarctica and that this warm water has increased melting of floating ice shelves at the edge of the ice sheet.",West Antarctic Ice Sheet
Global warming:166,Sea level rise will continue over many centuries.,Global warming
Nuclear power:399,"Slowing global warming requires a transition to a low-carbon economy, mainly by burning far less fossil fuel.",Nuclear power
Sustainable energy:41,"The pathways that are consistent with limiting warning to approximately 1.5 °C describe a rapid transition towards producing electricity through lower-emission methods, and increasing use of electricity instead of other fuels in sectors such as transportation.",Sustainable energy
Climate change in the Arctic:13,The authors conclude that anthropogenic increases in greenhouse gases have led to unprecedented regional warmth.,Climate change in the Arctic
Global warming:463,This is much colder than the conditions that actually exist at the Earths surface the global mean surface temperature is about 14 °C.,Global warming
Intergovernmental Panel on Climate Change:296,"Another example of scientific research which suggests that previous estimates by the IPCC, far from overstating dangers and risks, have actually understated them is a study on projected rises in sea levels.",Intergovernmental Panel on Climate Change
Scientific consensus on climate change:107,"The statement references the IPCCs Fourth Assessment of 2007, and asserts that climate change is happening even faster than previously estimated; global CO2 emissions since 2000 have been higher than even the highest predictions, Arctic sea ice has been melting at rates much faster than predicted, and the rise in the sea level has become more rapid.",Scientific consensus on climate change
Scientific consensus on climate change:35,"The reports Summary for Policymakers stated that warming of the climate system is unequivocal with changes unprecedented over decades to millennia, including warming of the atmosphere and oceans, loss of snow and ice, and sea level rise.",Scientific consensus on climate change
Europa (moon):155,"Observations with the Goddard High Resolution Spectrograph of the Hubble Space Telescope, first described in 1995, revealed that Europa has a thin atmosphere composed mostly of molecular oxygen O2, and some water vapor.",Europa moon
Oxygen:151,Paleoclimatologists measure the ratio of oxygen-18 and oxygen-16 in the shells and skeletons of marine organisms to determine the climate millions of years ago see oxygen isotope ratio cycle.,Oxygen
Oxygen:155,Paleoclimatologists also directly measure this ratio in the water molecules of ice core samples as old as hundreds of thousands of years.,Oxygen
Radiocarbon dating:124,"The effect also applies to marine organisms such as shells, and marine mammals such as whales and seals, which have radiocarbon ages that appear to be hundreds of years old.",Radiocarbon dating
Radiocarbon dating:135,"The effect varies greatly and there is no general offset that can be applied; additional research is usually needed to determine the size of the offset, for example by comparing the radiocarbon age of deposited freshwater shells with associated organic material.",Radiocarbon dating
Pleistocene:92,Such a pattern seems to fit the information on climate change found in oxygen isotope cores.,Pleistocene
Proxy (climate):108,"As of 2018, there is a decade of research demonstrating that in mineral soils the degree of methylation of bacteria brGDGTs, helps to calculate mean annual air temperatures.",Proxy climate
Radiocarbon dating:19,"In 1939, Martin Kamen and Samuel Ruben of the Radiation Laboratory at Berkeley began experiments to determine if any of the elements common in organic matter had isotopes with half-lives long enough to be of value in biomedical research.",Radiocarbon dating
Speleothem:29,"Stable isotopes of oxygen δ18O and carbon δ13C are recorded well in speleothems, giving high-resolution data that can show annual variation in temperature oxygen isotopes primarily reflect rainfall temperature and precipitation carbon isotopes primarily reflect C3/C4 plant composition and plant productivity, but the interpretation is often complicated.",Speleothem
Speleothem:89,"Cryogenic cave calcite from several Central European caves: age, carbon and oxygen isotopes and a genetic model.",Speleothem
Common octopus:153,Variations in temperature can also induce a change in hemolymph protein levels along oxygen consumption.,Common octopus
Common octopus:157,"The slight rise in P50 that occurs with temperature change allows oxygen pressure to remain high in the capillaries, allowing for elevated diffusion of oxygen into the mitochondria during periods of high oxygen consumption.",Common octopus
Common octopus:33,"In moving vertically throughout the water, the octopus is subjected to various pressures and temperatures, which affect the concentration of oxygen available in the water.",Common octopus
Human impact on marine life:118,This means the density of ocean water changes as its temperature and salinity changes.,Human impact on marine life
Paleoclimatology:97,The exact cause of the variation of the amount of oxygen in the atmosphere is not known.,Paleoclimatology
Paleothermometer:11,"The calibration was initially done on the basis of spatial variations in temperature and it was assumed that this corresponded to temporal variations Jouzel and Merlivat, 1984.",Paleothermometer
Paleothermometer:16,"Mg has a long residence time in the ocean, and so it is possible to largely ignore the effect of changes in seawater Mg/Ca on the signal.",Paleothermometer
Paleothermometer:22,"Temperature has been estimated to varying degrees of fidelity using leaf physiognomy for Late Cretaceous and Cenozoic leaf floras, principally using two main approaches: A univariate approach that is based on the observation that the proportion of woody dicot species with smooth i.e.",Paleothermometer
Paleothermometer:9,The major influence on δ18O is the difference between ocean temperatures where the moisture evaporated and the place where the final precipitation occurred; since ocean temperatures are relatively stable the δ18O value mostly reflects the temperature where precipitation occurs.,Paleothermometer
We Belong Together:125,"Styles P raps Past is the past, just let it be bygones / Matter of fact I know a fly song that we could vibe on, which Sanneh writes Cheerfully out of place, he sounds like a man who has wandered into the wrong summertime party, but so what?",We Belong Together
Geobiology:34,"While there are many aspects of studying past and present interactions between life and Earth that are unclear, several important ideas and concepts provide a basis of knowledge in geobiology that serve as a platform for posing researchable questions, including the evolution of life and planet and the co-evolution of the two, genetics - from both a historical and functional standpoint, the metabolic diversity of all life, the sedimentological preservation of past life, and the origin of life.",Geobiology
Geology:187,These fossils help scientists to date the core and to understand the depositional environment in which the rock units formed.,Geology
Geology:86,"Observation of modern marine and non-marine sediments in a wide variety of environments supports this generalization although cross-bedding is inclined, the overall orientation of cross-bedded units is horizontal.",Geology
Paleontology:1,It includes the study of fossils to determine organisms evolution and interactions with each other and their environments their paleoecology.,Paleontology
Paleontology:47,"Biostratigraphy, the use of fossils to work out the chronological order in which rocks were formed, is useful to both paleontologists and geologists.",Paleontology
Agriculture:225,"It is one of the largest sources of greenhouse gases, responsible for 18% of the worlds greenhouse gas emissions as measured in CO2 equivalents.",Agriculture
Agriculture:259,"Agriculture, forestry and land-use change contributed around 20 to 25% to global annual emissions in 2010.",Agriculture
Climate change and agriculture:6,"Agriculture, forestry and land-use change contributed around 20 to 25% of global annual emissions in 2010.",Climate change and agriculture
Kyoto Protocol:333,"In 2008, countries with a Kyoto cap made up less than one-third of annual global carbon dioxide emissions from fuel combustion.",Kyoto Protocol
Kyoto Protocol:388,The Kyoto second commitment period applies to about 11% of annual global emissions of greenhouse gases.,Kyoto Protocol
Anoxic event:65,The trigger for these mass extinctions appears to be a warming of the ocean caused by a rise of carbon dioxide levels to about 1000 parts per million.,Anoxic event
Biodiversity:310,"Increasing atmospheric carbon dioxide certainly affects plant morphology and is acidifying oceans, and temperature affects species ranges, phenology, and weather, but, mercifully, the major impacts that have been predicted are still potential futures.",Biodiversity
Effects of global warming on human health:306,"Historically, cold temperatures at night and in the winter months would kill off insects, bacteria and fungi.",Effects of global warming on human health
Paleoclimatology:6,"Studies of past changes in the environment and biodiversity often reflect on the current situation, specifically the impact of climate on mass extinctions and biotic recovery and current global warming.",Paleoclimatology
Attribution of recent climate change:61,"According to the historical temperature record of the last century, the Earths near-surface air temperature has risen around 0.74 ± 0.18 °Celsius 1.3 ± 0.32 °Fahrenheit.",Attribution of recent climate change
Attribution of recent climate change:72,Over the past five decades there has been a global warming of approximately 0.65 °C 1.17 °F at the Earths surface see historical temperature record.,Attribution of recent climate change
Instrumental temperature record:35,"An examination of the average global temperature changes by decades reveals continuing climate change, and AR5 reports Each of the last three decades has been successively warmer at the Earths surface than any preceding decade since 1850 see Figure SPM.1.",Instrumental temperature record
Energy in South Australia:269,South Australia has the highest power prices in the world.,Energy in South Australia
Energy in South Australia:91,It was claimed in 2017 that South Australia had the most expensive electricity in the world Another analysis claimed that South Australia has the second cheapest electricity in Australia.,Energy in South Australia
South Australia:97,"At the time of construction in late 2017, it was billed as the largest lithium-ion battery in the world.",South Australia
Climate:75,"Ice caps form because high-latitude regions receive less energy as solar radiation from the sun than equatorial regions, resulting in lower surface temperatures.",Climate
Earth:181,The result is atmospheric circulation that drives the weather and climate through redistribution of thermal energy.,Earth
Future of Earth:79,These changes can influence the planetary climate.,Future of Earth
Sun:36,"The energy of this sunlight supports almost all life on Earth by photosynthesis, and drives Earths climate and weather.",Sun
Climate change mitigation:352,"Countries that ratified the Kyoto protocol committed to reduce their emissions of carbon dioxide and five other greenhouse gases, or engage in emissions trading if they maintain or increase emissions of these gases.",Climate change mitigation
Energy policy of China:24,"The plan did not include targets for carbon dioxide emission reductions, but it has been estimated that, if fully implemented, Chinas annual emissions of greenhouse gases would be reduced by 1.5 billion tons of carbon dioxide equivalent by 2010.",Energy policy of China
Paris Agreement:12,"This strategy involved energy and climate policy including the so-called 20/20/20 targets, namely the reduction of carbon dioxide CO2 emissions by 20%, the increase of renewable energys market share to 20%, and a 20% increase in energy efficiency.",Paris Agreement
Paris Agreement:168,"Institutional asset owners associations and think-tanks have also observed that the stated objectives of the Paris Agreement are implicitly predicated upon an assumption - that member states of the United Nations, including high polluters such as China, the US, India, Russia, Japan, Germany, South Korea, Iran, Saudi Arabia, Canada, Indonesia and Mexico, which generate more than half the worlds greenhouse gas emissions, will somehow drive down their carbon pollution voluntarily and assiduously without any binding enforcement mechanism to measure and control CO2 emissions at any level from factory to state, and without any specific penalty gradation or fiscal pressure for example a carbon tax to discourage bad behaviour.",Paris Agreement
Paris Agreement:240,U.S. and China announce steps to join the Paris accord that set nation-by-nation targets for cutting carbon emissions.,Paris Agreement
Carbon sink:10,"It is estimated that forests absorb between 10 and 20 tons of carbon dioxide per hectare each year, through photosynthetic conversion into starch, cellulose, lignin, and other components of wooden biomass.",Carbon sink
Reforestation:24,Forests are an important part of the global carbon cycle because trees and plants absorb carbon dioxide through photosynthesis.,Reforestation
Reforestation:85,"They absorb a huge amount of carbon dioxide, combating climate change.",Reforestation
Wetland:266,"It decomposes and turns into carbon dioxide CO2, which is released into the atmosphere.",Wetland
Effects of global warming on human health:339,Perhaps one of the most recent adverse effects of climate change to be explored is that of ocean acidification.,Effects of global warming on human health
Human impact on marine life:128,"The direction and magnitude of the effects of ocean acidification, warming and deoxygenation on the ocean has been quantified by meta-analyses, and has been further tested by mesocosm studies.",Human impact on marine life
Human impact on marine life:561,2013 Meta-analysis reveals complex marine biological responses to the interactive effects of ocean acidification and warming.,Human impact on marine life
Sea:38,"Both are informed by chemical oceanography, which studies the behavior of elements and molecules within the oceans: particularly, at the moment, the oceans role in the carbon cycle and carbon dioxides role in the increasing acidification of seawater.",Sea
Environmental impact of the coal industry:87,The presence of acid-forming materials exposed as a result of surface mining can affect wildlife by eliminating habitat and by causing direct destruction of some species.,Environmental impact of the coal industry
Human impact on marine life:99,These large-scale alterations in the physical environment are driving change through all levels of Antarctic marine food webs.,Human impact on marine life
Ocean acidification:139,"Aside from the slowing and/or reversing of calcification, organisms may suffer other adverse effects, either indirectly through negative impacts on food resources, or directly as reproductive or physiological effects.",Ocean acidification
Ocean acidification:175,Other organisms are directly harmed as a result of acidification.,Ocean acidification
Ocean acidification:57,Changes in ocean chemistry can have extensive direct and indirect effects on organisms and their habitats.,Ocean acidification
Algae:12,"Most are phototrophic, although some are mixotrophic, deriving energy both from photosynthesis and uptake of organic carbon either by osmotrophy, myzotrophy, or phagotrophy.",Algae
Botany:82,"Plants, algae and cyanobacteria are the major groups of organisms that carry out photosynthesis, a process that uses the energy of sunlight to convert water and carbon dioxide into sugars that can be used both as a source of chemical energy and of organic molecules that are used in the structural components of cells.",Botany
Carbon dioxide:232,"Carbon fixation is a biochemical process by which atmospheric carbon dioxide is incorporated by plants, algae and cyanobacteria into energy-rich organic molecules such as glucose, thus creating their own food by photosynthesis.",Carbon dioxide
Cyanobacteria:61,"Cyanobacteria use the energy of sunlight to drive photosynthesis, a process where the energy of light is used to synthesize organic compounds from carbon dioxide.",Cyanobacteria
Plant:24,Algae comprise several different groups of organisms which produce food by photosynthesis and thus have traditionally been included in the plant kingdom.,Plant
Climate change (general concept):18,The term climate change is often used to refer specifically to anthropogenic climate change also known as global warming.,Climate change general concept
Climate change (general concept):20,"In this sense, especially in the context of environmental policy, the term climate change has become synonymous with anthropogenic global warming.",Climate change general concept
Climate change (general concept):216,Climate change refers to a broad range of global phenomena which include the increased temperature trends described by global warming.,Climate change general concept
Global warming:246,Climate engineering sometimes called geoengineering or climate intervention is the deliberate modification of the climate.,Global warming
Tropical rainforest:66,"In general, climatic patterns consist of warm temperatures and high annual rainfall.",Tropical rainforest
Climate change denial:112,"Scientists have known for over a century that even this small proportion has a significant warming effect, and doubling the proportion leads to a large temperature increase.",Climate change denial
Global warming:328,"a large scale global warming, with radical climate changes may result.",Global warming
History of the world:540,"The greenhouse effect, substantially responsible for Earths global warming, was first described in 1824 by the French mathematician Joseph Fourier.",History of the world
Global warming:60,"As of 2011, the concentrations of CO2 and methane had increased by about 40% and 150%, respectively, since pre-industrial times.",Global warming
Greenhouse gas:111,"Carbon dioxide mole fractions in the atmosphere have gone up by approximately 35 percent since the 1900s, rising from 280 parts per million by volume to 387 parts per million in 2009.",Greenhouse gas
Greenhouse gas:115,"For example, the mole fraction of carbon dioxide has increased from 280 ppm to 415 ppm, or 120 ppm over modern pre-industrial levels.",Greenhouse gas
Greenhouse gas:118,"In the 1960s, the average annual increase was only 37% of what it was in 2000 through 2007.",Greenhouse gas
Carbon dioxide:11,CO2 is produced by all aerobic organisms when they metabolize carbohydrates and lipids to produce energy by respiration.,Carbon dioxide
Carbon dioxide:74,"Carbon dioxide can be obtained by distillation from air, but the method is inefficient.",Carbon dioxide
Nature:42,Outgassing and volcanic activity produced the primordial atmosphere.,Nature
Conservatism in the United States:238,"On the other hand, some conservatives tend to oppose free-market trade policies and support protectionism instead.",Conservatism in the United States
Conservatism in the United States:287,"Conservative think tanks since the 1990s have opposed the concept of man-made global warming; challenged scientific evidence; publicized what they perceived as beneficial aspects of global warming, and asserted that proposed remedies would do more harm than good.",Conservatism in the United States
Conservative Party (UK):334,Some Conservative politicians such as Alan Duncan and Crispin Blunt take the libertarian approach that individual freedom and economic freedom of industry and trade should be respected.,Conservative Party UK
Framing (social sciences):228,"Neoliberal frameworks that are often echoed by conservatives, such as support for the free market economy, are posited against climate action interventions that inherently place constraints on the free economy through support for renewable energy through subsidies or through additional tax on nonrenewable sources of energy.",Framing social sciences
Republican Party (United States):177,"Since then, Republicans have increasingly taken positions against environmental regulation, with some Republicans rejecting the scientific consensus on climate change.",Republican Party United States
Scientific consensus on climate change:4,Earths climate has warmed significantly since the late 1800s.,Scientific consensus on climate change
Scientific consensus on climate change:74,"Over the past 30 years, temperatures have risen faster in winter than in any other season, with average winter temperatures in the Midwest and northern Great Plains increasing more than 7 °F 3.9 °C.",Scientific consensus on climate change
Climate change in the United States:46,"A report released in March 2012 by the Intergovernmental Panel on Climate Change IPCC confirmed that a strong body of evidence links global warming to an increase in heat waves, a rise in episodes of heavy rainfall and other precipitation, and more frequent coastal flooding.",Climate change in the United States
Effects of global warming:86,"In the last 30-40 years, heat waves with high humidity have become more frequent and severe.",Effects of global warming
Attribution of recent climate change:113,Human activity is likely to have made a substantial contribution to ocean surface temperature changes in hurricane formation regions.,Attribution of recent climate change
Global warming:173,"In terrestrial ecosystems, the earlier timing of spring events, as well as poleward and upward shifts in plant and animal ranges, have been linked with high confidence to recent warming.",Global warming
Global warming:202,"Climate change has been linked to an increase in violent conflict by amplifying poverty and economic shocks, which are well-documented drivers of these conflicts.",Global warming
Global warming:294,"Although there are a few areas of linkage, the relationship between the two is weak.",Global warming
Global warming:212,Successful adaptation is easier if there are substantial emission reductions.,Global warming
Global warming:214,Climate change can be mitigated through the reduction of greenhouse gas emissions or the enhancement of the capacity of carbon sinks to absorb greenhouse gases from the atmosphere.,Global warming
Global warming:221,"In some scenarios emissions continue to rise over the century, while others have reduced emissions.",Global warming
Global warming:227,"To keep warming below 2 °C, more stringent emission reductions in the near-term would allow for less rapid reductions after 2030.",Global warming
Abrupt climate change:0,"An abrupt climate change occurs when the climate system is forced to transition to a new climate state at a rate that is determined by the climate system energy-balance, and which is more rapid than the rate of change of the external forcing.",Abrupt climate change
Scientific consensus on climate change:122,"Further global climate changes are predicted, with impacts expected to become more costly as time progresses.",Scientific consensus on climate change
Scientific consensus on climate change:160,It is clear that major efforts are necessary to quickly and strongly reduce CO2 emissions.,Scientific consensus on climate change
Scientific consensus on climate change:41,"The stronger our efforts to reduce greenhouse gas emissions, the lower the risk of extreme climate impacts.",Scientific consensus on climate change
Scientific consensus on climate change:6,Continuing emissions will increase the likelihood and severity of global effects.,Scientific consensus on climate change
Air pollution:287,"Efforts to reduce pollution from mobile sources includes primary regulation many developing countries have permissive regulations,citation needed expanding regulation to new sources such as cruise and transport ships, farm equipment, and small gas-powered equipment such as string trimmers, chainsaws, and snowmobiles, increased fuel efficiency such as through the use of hybrid vehicles, conversion to cleaner fuels or conversion to electric vehicles.",Air pollution
Renewable energy:18,"As most of renewable energy technologies provide electricity, renewable energy deployment is often applied in conjunction with further electrification, which has several benefits: electricity can be converted to heat where necessary generating higher temperatures than fossil fuels, can be converted into mechanical energy with high efficiency, and is clean at the point of consumption.",Renewable energy
Renewable energy:209,"The results of a recent review of the literature concluded that as greenhouse gas GHG emitters begin to be held liable for damages resulting from GHG emissions resulting in climate change, a high value for liability mitigation would provide powerful incentives for deployment of renewable energy technologies.",Renewable energy
Renewable energy:25,"It would also reduce environmental pollution such as air pollution caused by burning of fossil fuels and improve public health, reduce premature mortalities due to pollution and save associated health costs that amount to several hundred billion dollars annually only in the United States.",Renewable energy
Renewable energy:442,"Other renewable sources such as wind power, photovoltaics, and hydroelectricity have the advantage of being able to conserve water, lower pollution and reduce CO2 emissions.",Renewable energy
Carbon capture and storage:0,"Carbon capture and storage CCS or carbon capture and sequestration or carbon control and sequestration is the process of capturing waste carbon dioxide CO2 usually from large point sources, such as a cement factory or biomass power plant, transporting it to a storage site, and depositing it where it will not enter the atmosphere, normally an underground geological formation.",Carbon capture and storage
Carbon capture and storage:268,The geothermal plant then pumps the carbonated water into rock formations underground where the carbon dioxide reacts with basaltic bedrock and forms carbonite minerals.,Carbon capture and storage
Carbon capture and storage:92,"Also known as geo-sequestration, this method involves injecting carbon dioxide, generally in supercritical form, directly into underground geological formations.",Carbon capture and storage
Climate change mitigation:195,Carbon capture and storage CCS is a method to mitigate climate change by capturing carbon dioxide CO2 from large point sources such as power plants and subsequently storing it away safely instead of releasing it into the atmosphere.,Climate change mitigation
Coal pollution mitigation:0,"Coal pollution mitigation, often called clean coal, is a series of systems and technologies that seek to mitigate the pollution and other environmental effects normally associated with the burning though not the mining or processing of coal, which is widely regarded as the dirtiest of the common fuels for industrial processes and power generation.",Coal pollution mitigation
Global warming:141,Past models have underestimated the rate of Arctic shrinkage and underestimated the rate of precipitation increase.,Global warming
Richard Lindzen:80,Lindzen said that predicted warming may be overestimated because of their handling of the climate systems water vapor feedback.,Richard Lindzen
Climatology:51,"These models predict an upward trend in the surface temperatures, as well as a more rapid increase in temperature at higher latitudes.",Climatology
Global warming:300,"Additional disputes concern estimates of climate sensitivity, predictions of additional warming, what the consequences of global warming will be, and what to do about it.",Global warming
Global warming hiatus:12,"Subsequently, a detailed study supports the conclusion that warming is continuing, but it also find there was less warming between 2001 and 2010 than climate models had predicted, and that this slowdown might be attributed to short-term variations in the Pacific decadal oscillation PDO, which was negative during that period.",Global warming hiatus
Global warming hiatus:55,"A month before formal AR5 publication, a leaked draft of the report noted that Models do not generally reproduce the observed reduction in surface warming trend over the last 10-15 years, but lacked clear explanations, and attracted wide media coverage.",Global warming hiatus
Global warming hiatus:80,"They used the IPCC definition of the supposed hiatus as a slowdown in rate of temperature increase from 1998 to 2012, compared to the rate from 1951 to 2012, and again found no support for the idea of a hiatus or slowdown.",Global warming hiatus
Global warming controversy:228,The actual increase by 2000 was about 29%.,Global warming controversy
Global warming hiatus:87,A March 2014 study found that climate models assuming natural variability which matched subsequent observations of ENSO phasing had produced realistic estimates of 15-year trends.,Global warming hiatus
Intergovernmental Panel on Climate Change:226,"The finished report summarizes the findings of scientists, showing that maintaining a temperature rise to below 1.5 °C remains possible, but only through rapid and far-reaching transitions in energy, land, urban and infrastructure, and industrial systems.",Intergovernmental Panel on Climate Change
2010 Russian wildfires:19,"Such human activity, coupled with the unusually high temperatures over the Russian territories, catalyzed this record disturbance.",2010 Russian wildfires
2010 Russian wildfires:2,"The fires were associated with record-high temperatures, which were attributed to climate change, the summer had been the hottest recorded in Russian history, and drought.",2010 Russian wildfires
2010 Russian wildfires:5,"A combination of the smoke from the fires, producing heavy smog blanketing large urban regions and the record-breaking heat wave put stress on the Russian healthcare system.",2010 Russian wildfires
2019–20 Australian bushfire season:415,"Scientific experts and land management agencies agree that severely below average fuel moisture attributed to record-breaking temperatures and drought, accompanied by severe fire weather, are the primary causes of the 2019-20 Australian bushfire season, and that these are likely to have been exacerbated by long-term trends of warmer and dryer weather observed over the Australian land mass.",2019-20 Australian bushfire season
Bushfires in Australia:129,"Across the country, the average summer temperatures have increased leading to record-breaking hot weather, with the early summer of 2019 the hottest on record.",Bushfires in Australia
2010 Northern Hemisphere heat waves:340,A two-day-long heat wave hit the more rural parts of Texas on July 1.,2010 Northern Hemisphere heat waves
2010 Northern Hemisphere heat waves:341,"From July 4 to July 9, 2010, the majority of the American East Coast, from the Carolinas to Maine, was gripped in a severe heat wave.",2010 Northern Hemisphere heat waves
2010 Northern Hemisphere heat waves:369,"The heat continued through the second half of July but extreme heat was mostly confined to the Southeastern United States, giving relief to the Northeast and Upper Midwest as it had early in the month.",2010 Northern Hemisphere heat waves
Cold wave:257,"The cold wave was followed by one of the hottest summers on record, the 1936 North American heat wave.",Cold wave
Cold wave:277,1888 1888 US cold wave - A severe cold wave that passed through the Pacific Northwest.,Cold wave
Effects of global warming:104,"As a result, since the 1980s, both the size and ferocity of fires in California have increased dramatically.",Effects of global warming
Effects of global warming:105,"Since the 1970s, the size of the area burned has increased fivefold while fifteen of the 20 largest fires in California have occurred since 2000.",Effects of global warming
